name,unit
بذور باذنجان SABELLE RZ,باكيت 100بذرة
0/45/55 سائل Green Valley,5 لتر
18/18/18 Green Valley,شوال (25كغم )
4/1/1 Green valley,جالون10لتر
ARMER 5L / احماض امينية,5 لتر
ARMER أرمر / احمض امينية,5 لتر
ATO CIDE -L,1 لتر
ATO GROWTH G20,1 لتر
cocco beat )كوكو بيت),طن
Cocco Grow(95cmx15cmx10.5cm)بدون غلاف,عدد
FERTIACTYL GZ,1 لتر
FERTILEADER ALPHA,جالون10لتر
FERTILEADER AXIS,جالون10لتر
FERTILEADER CALMAG,1 لتر
FERTILEADER ELITE,جالون10لتر
FERTILEADER KALEO,5 لتر
FERTILEADER LEOS,جالون10لتر
FOLCROP B,5 لتر
FOLCROP Ca-B,5 لتر
FOLCROP Zn,5 لتر
FOLCROP ZN ++,5 لتر
FOSCROP K,5 لتر
Jiffy Grow Bag (100x15x10),عدد
Jiffy Grow Bag (100x20x12),عدد
Jiffy Grow Bag(100x15x10)cm مع فتحات زراعة وتصريف,عدد
Jiffy Grow Bags 100cmx20cmx10cm,عدد
KSC speed1 15/25/5,شوال (25كغم )
KSC speed2  18/5/5,شوال (25كغم )
KSC speed3 13/5/30,شوال (25كغم )
KSC SULFACID,جالون10لتر
L3(فوستل المنيوم),1 كغم
Maxfruit(5l),5 لتر
NEO BOOST,1 كغم
NOVO SAFE,1 لتر
NOVO SECT,1 لتر
NOVO TREAT,1 لتر
OPTIMA 18/18/18,1 كغم
OPTIMA 30/10/10,1 كغم
OPTIMA 4/10/40,1 كغم
OPTIMA 4/41/27,1 كغم
Radix Tem (5 L),5 لتر
RADIX-CAL,جالون20لتر
SOLUM H 80%,5 كغم
stim concentrae طحالب 1لتر,1 لتر
STIM CONCENTRAE طحالب بحرية 5لتر 16%,5 لتر
stim concentrate طحالب 5لتر,5 لتر
SULFAMMO 30,شوال (25كغم )
suma grow 1/2Lt,علبه
suma grow 1Lt,1 لتر
suma grow 30Lt,جالون 30لتر
suma grow 5Lt,5 لتر
TOP-PHOS NP 3-20,شوال (25كغم )
VAN P4P Terra,علبه
VAN P4P Vita,علبه
ابرن FLASH K,جالون20لتر
اترارات(لاصق فئران),عدد
اجروكسيل,1 كغم
اجري فليكس,1 لتر
اجريسيف(بديل بريفيكيور),1 لتر
اراندو (ثياميثوكسام 24%),1 لتر
اركور,1 كغم
اريتور,ملليتر
ازوكسام,علبه
ازوكسفين,1 لتر
